INFO - main_ImageNet.py - 2025-05-07 17:53:07,131 - Using device: cuda
INFO - main_ImageNet.py - 2025-05-07 17:53:07,131 - Writing log file to run/logs/AapmCT_10C
INFO - main_ImageNet.py - 2025-05-07 17:53:07,131 - Exp instance id = 12085
INFO - main_ImageNet.py - 2025-05-07 17:53:07,131 - Exp comment = 
INFO - main_ImageNet.py - 2025-05-07 17:53:07,132 - Config =
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:21,141 - step: 43048, loss: 1067596.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:21,409 - step: 43049, loss: 667048.6875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:21,678 - step: 43050, loss: 1552508.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:21,949 - step: 43051, loss: 1632474.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:22,218 - step: 43052, loss: 1226749.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:22,486 - step: 43053, loss: 1020328.1875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:22,754 - step: 43054, loss: 1216284.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:23,023 - step: 43055, loss: 1631748.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:23,291 - step: 43056, loss: 1190552.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:23,559 - step: 43057, loss: 576251.9375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:23,828 - step: 43058, loss: 1175790.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:24,098 - step: 43059, loss: 1534685.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:24,367 - step: 43060, loss: 947752.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:24,638 - step: 43061, loss: 567590.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:24,906 - step: 43062, loss: 1542042.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:25,175 - step: 43063, loss: 1599100.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:25,444 - step: 43064, loss: 1663489.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:25,714 - step: 43065, loss: 1650810.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:25,983 - step: 43066, loss: 1549720.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:26,251 - step: 43067, loss: 1596997.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:26,520 - step: 43068, loss: 1371640.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:26,789 - step: 43069, loss: 1624797.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:27,057 - step: 43070, loss: 579284.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:27,328 - step: 43071, loss: 1536962.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:27,597 - step: 43072, loss: 1537996.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:27,866 - step: 43073, loss: 964292.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:28,135 - step: 43074, loss: 665491.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:28,403 - step: 43075, loss: 641837.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:28,672 - step: 43076, loss: 1117169.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:28,940 - step: 43077, loss: 596365.9375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:29,209 - step: 43078, loss: 1290010.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:29,478 - step: 43079, loss: 430308.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:29,746 - step: 43080, loss: 856714.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:30,018 - step: 43081, loss: 1511385.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:30,286 - step: 43082, loss: 442469.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:30,555 - step: 43083, loss: 1661011.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:30,824 - step: 43084, loss: 469275.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:31,092 - step: 43085, loss: 1319836.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:31,362 - step: 43086, loss: 1440092.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:31,631 - step: 43087, loss: 1620123.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:31,899 - step: 43088, loss: 1435608.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:32,168 - step: 43089, loss: 1305978.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:32,437 - step: 43090, loss: 1110970.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:32,708 - step: 43091, loss: 1661302.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:32,977 - step: 43092, loss: 1616642.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:33,246 - step: 43093, loss: 562740.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:33,514 - step: 43094, loss: 547584.4375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:33,783 - step: 43095, loss: 810829.8125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:34,052 - step: 43096, loss: 1497495.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:34,320 - step: 43097, loss: 290498.9375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:34,589 - step: 43098, loss: 492682.96875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:34,857 - step: 43099, loss: 1565224.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:35,127 - step: 43100, loss: 308266.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:35,823 - step: 43101, loss: 1655195.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:36,093 - step: 43102, loss: 1499562.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:36,364 - step: 43103, loss: 1565311.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:36,632 - step: 43104, loss: 1072773.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:36,901 - step: 43105, loss: 514946.34375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:37,170 - step: 43106, loss: 1260808.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:37,439 - step: 43107, loss: 1249025.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:37,707 - step: 43108, loss: 1489329.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:37,977 - step: 43109, loss: 1022860.0625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:38,245 - step: 43110, loss: 748786.5625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:38,516 - step: 43111, loss: 1604957.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:38,785 - step: 43112, loss: 1633663.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:39,054 - step: 43113, loss: 728651.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:39,323 - step: 43114, loss: 206148.453125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:39,594 - step: 43115, loss: 1550150.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:39,862 - step: 43116, loss: 707294.0625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:40,131 - step: 43117, loss: 1355607.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:40,400 - step: 43118, loss: 1594782.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:40,668 - step: 43119, loss: 959507.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:40,937 - step: 43120, loss: 1348375.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:41,209 - step: 43121, loss: 185103.859375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:41,478 - step: 43122, loss: 1178508.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:41,747 - step: 43123, loss: 1453964.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:42,016 - step: 43124, loss: 1623593.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:42,285 - step: 43125, loss: 653561.1875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:42,554 - step: 43126, loss: 350173.65625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:42,822 - step: 43127, loss: 1159910.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:43,091 - step: 43128, loss: 1329132.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:43,360 - step: 43129, loss: 156196.734375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:43,628 - step: 43130, loss: 1321704.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:43,900 - step: 43131, loss: 1580061.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:44,169 - step: 43132, loss: 1144958.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:44,438 - step: 43133, loss: 1313945.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:44,706 - step: 43134, loss: 1521012.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:44,976 - step: 43135, loss: 1576280.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:45,244 - step: 43136, loss: 1307050.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:45,513 - step: 43137, loss: 1426389.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:45,782 - step: 43138, loss: 1298756.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:46,050 - step: 43139, loss: 883394.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:46,319 - step: 43140, loss: 878551.3125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:46,591 - step: 43141, loss: 1577347.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:46,860 - step: 43142, loss: 1512440.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:47,128 - step: 43143, loss: 867044.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:47,397 - step: 43144, loss: 153554.34375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:47,666 - step: 43145, loss: 564776.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:47,934 - step: 43146, loss: 140048.4375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:48,203 - step: 43147, loss: 1515222.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:48,472 - step: 43148, loss: 448252.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:48,741 - step: 43149, loss: 1307794.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:49,009 - step: 43150, loss: 1314212.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:49,281 - step: 43151, loss: 353900.6875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:49,551 - step: 43152, loss: 918608.5625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:49,822 - step: 43153, loss: 332202.46875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:50,091 - step: 43154, loss: 1317070.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:50,360 - step: 43155, loss: 140201.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:50,631 - step: 43156, loss: 1646877.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:50,899 - step: 43157, loss: 1645865.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:51,169 - step: 43158, loss: 125066.46875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:51,439 - step: 43159, loss: 1582021.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:51,708 - step: 43160, loss: 1522905.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:51,980 - step: 43161, loss: 1303752.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:52,249 - step: 43162, loss: 1577975.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:52,517 - step: 43163, loss: 1426096.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:52,787 - step: 43164, loss: 584595.0625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:53,056 - step: 43165, loss: 271608.84375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:53,324 - step: 43166, loss: 1518483.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:53,594 - step: 43167, loss: 1518085.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:53,863 - step: 43168, loss: 1572671.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:54,131 - step: 43169, loss: 1419005.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:54,401 - step: 43170, loss: 127865.703125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:54,672 - step: 43171, loss: 120937.9375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:54,941 - step: 43172, loss: 1276201.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:55,210 - step: 43173, loss: 120347.2265625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:55,478 - step: 43174, loss: 538114.8125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:55,747 - step: 43175, loss: 1267890.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:56,016 - step: 43176, loss: 1566120.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:56,284 - step: 43177, loss: 1265048.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:56,553 - step: 43178, loss: 1085341.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:56,822 - step: 43179, loss: 1259780.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:57,091 - step: 43180, loss: 520532.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:57,362 - step: 43181, loss: 1074362.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:57,631 - step: 43182, loss: 218408.203125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:57,900 - step: 43183, loss: 561058.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:58,168 - step: 43184, loss: 1248683.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:58,437 - step: 43185, loss: 210519.140625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:58,706 - step: 43186, loss: 213417.46875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:58,976 - step: 43187, loss: 218092.6875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:59,245 - step: 43188, loss: 1639161.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:59,514 - step: 43189, loss: 1607968.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:53:59,783 - step: 43190, loss: 1608622.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:00,055 - step: 43191, loss: 1067164.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:00,324 - step: 43192, loss: 124790.78125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:00,593 - step: 43193, loss: 554264.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:00,862 - step: 43194, loss: 1410151.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:01,131 - step: 43195, loss: 1079703.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:01,400 - step: 43196, loss: 1247680.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:01,669 - step: 43197, loss: 141069.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:01,938 - step: 43198, loss: 227991.15625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:02,207 - step: 43199, loss: 1572190.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:02,476 - step: 43200, loss: 1403582.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:02,804 - step: 43201, loss: 469920.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:03,074 - step: 43202, loss: 514216.53125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:03,343 - step: 43203, loss: 1615917.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:03,613 - step: 43204, loss: 1252104.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:03,882 - step: 43205, loss: 1636128.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:04,151 - step: 43206, loss: 1245683.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:04,420 - step: 43207, loss: 1558915.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:04,689 - step: 43208, loss: 178527.359375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:04,958 - step: 43209, loss: 473567.03125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:05,227 - step: 43210, loss: 1638815.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:05,498 - step: 43211, loss: 1267756.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:05,768 - step: 43212, loss: 1264179.75
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:06,037 - step: 43213, loss: 1642796.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:06,306 - step: 43214, loss: 495362.0625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:06,575 - step: 43215, loss: 1618913.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:06,844 - step: 43216, loss: 1521878.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:07,113 - step: 43217, loss: 1430129.125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:07,382 - step: 43218, loss: 1529440.5
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:07,651 - step: 43219, loss: 323262.46875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:07,920 - step: 43220, loss: 673865.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:08,192 - step: 43221, loss: 1419717.875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:08,461 - step: 43222, loss: 1618282.625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:08,730 - step: 43223, loss: 379528.3125
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:08,999 - step: 43224, loss: 1579286.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:09,268 - step: 43225, loss: 1432489.25
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:09,537 - step: 43226, loss: 1519239.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:09,806 - step: 43227, loss: 303237.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:10,075 - step: 43228, loss: 1521399.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:10,344 - step: 43229, loss: 1618221.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:10,613 - step: 43230, loss: 217093.71875
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:10,885 - step: 43231, loss: 373877.0625
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:11,154 - step: 43232, loss: 889739.0
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:11,423 - step: 43233, loss: 1640294.375
INFO - aapm_runner_traindataCT_10_noconv.py - 2025-05-07 17:54:11,692 - step: 43234, loss: 1513605.5
